n,ID,ID_next,length,area,lake,endorheic,S_0,S_max,Coeff,power,lake_type,slope,target_vol,lake_type_for_target_vol
167,3016683,3033833.0,41919.00108576901,594589201.8968205,0.0,0.0,1000000.0,2973946009.4841027,0.01,1.5,0.0,0.0001,0.0,0.0
168,3016691,7007693.0,29626.44015308111,587236618.4367362,0.0,0.0,1000000.0,2937183092.183681,0.01,1.5,0.0,0.0001,0.0,0.0
169,3016903,7000653.0,17490.6471888017,76446289.8007699,0.0,0.0,1000000.0,383231449.0038495,0.01,1.5,0.0,0.0001,0.0,0.0
170,3017179,3039994.0,47368.54154861922,614019885.9998252,0.0,0.0,1000000.0,3071099429.9991264,0.01,1.5,0.0,0.0001,0.0,0.0
171,3017310,3025187.0,23261.868252035787,616954694.8869815,0.0,0.0,1000000.0,3085773474.4349074,0.01,1.5,0.0,0.0001,0.0,0.0
172,3017455,7007905.0,15064.1706485334,618471734.5849628,0.0,0.0,1000000.0,3093358672.924814,0.01,1.5,0.0,0.0001,0.0,0.0
173,3017526,3029706.0,49270.40051477032,621812542.0832655,0.0,0.0,1000000.0,3110062710.4163275,0.01,1.5,0.0,0.0001,0.0,0.0
174,3017551,7000579.0,15952.31351364593,616455954.1663857,0.0,0.0,1000000.0,3083279770.8319283,0.01,1.5,0.0,0.0001,0.0,0.0
175,3017569,3030535.0,36249.02271490502,626216328.6512448,0.0,0.0,1000000.0,3132081643.2562237,0.01,1.5,0.0,0.0001,0.0,0.0
176,3017759,3035241.0,68408.06834102911,637211834.0900983,0.0,0.0,1000000.0,3187059170.4504914,0.01,1.5,0.0,0.0001,0.0,0.0
177,3017873,7000528.0,1919.7917063924967,592762464.2924418,0.0,0.0,1000000.0,2964812321.462209,0.01,1.5,0.0,0.0001,0.0,0.0
178,3017889,3034805.0,25225.927711729702,637469490.8708625,0.0,0.0,1000000.0,3188347454.3543124,0.01,1.5,0.0,0.0001,0.0,0.0
